"id","title","description","availability","condition","price","link","image_link","brand"
"1","EMERALD ROYALE EMBROIDERED SAREE","Luxurious olive green saree adorned with intricate embroidered border work and delicate embellishments, designed for weddings, festive celebrations, and elegant evening occasions.","in stock","new","5070 INR","https://laxmira.net/shop/1","https://laxmira.net/uploads/saree/emerald-royale-embroidered-saree-1.png","LAXMIRA"
"2","Lavender Vine Embroidered Suit Set","An elegant lavender suit set adorned with delicate vine-inspired embroidery and intricate neckline detailing. Paired with matching trousers and a sheer dupatta, this graceful ensemble blends contemporary charm with timeless sophistication, making it perfect for festive gatherings, family functions, and special occasions.","in stock","new","2599 INR","https://laxmira.net/shop/2","https://laxmira.net/uploads/suits/lavender-vine-embroidered-suit-set-1.png","LAXMIRA"
"3","Ivory Peacock Elegance Saree","A timeless ivory saree enhanced with delicate embroidered borders and paired with a beautifully crafted peacock motif jacket. The sophisticated silhouette, intricate craftsmanship, and graceful drape make this ensemble an ideal choice for weddings, festive celebrations, cultural events, and elegant evening occasions.","in stock","new","1800 / day INR","https://laxmira.net/shop/3","https://laxmira.net/uploads/saree/ivory-peacock-elegance-saree-1.png","LAXMIRA"
"4","Ruby Peacock Embroidered Palazzo Set","A statement-making ruby red ensemble featuring exquisite peacock-inspired embroidery and intricate handcrafted embellishments. Paired with flowing palazzo pants adorned with detailed border work, this contemporary ethnic outfit is perfect for weddings, receptions, festive soirées, and special celebrations.","in stock","new","1200 / day INR","https://laxmira.net/shop/4","https://laxmira.net/uploads/suits/rubby-peacock-embroidered-palazzo-set-1.png","LAXMIRA"
"5","Blossom Garden Embroidered Lehenga Set","A graceful ivory lehenga set adorned with vibrant floral embroidery inspired by blooming spring gardens. Paired with a beautifully embroidered blouse and a delicate net dupatta featuring floral borders, this ensemble creates a fresh, feminine, and elegant look perfect for weddings, festive celebrations, engagement ceremonies, and daytime functions.","in stock","new","2000 / day INR","https://laxmira.net/shop/5","https://laxmira.net/uploads/lehenga/blossom-garden-embroidered-lehenga-set-1.png","LAXMIRA"
"6","Terracotta Lace Co-Ord Set","A chic and contemporary terracotta co-ord set crafted with intricate lace-inspired embroidery throughout. Featuring a smart collared button-down top paired with matching wide-leg trousers, this outfit offers the perfect blend of elegance and comfort for brunches, vacations, casual gatherings, and modern festive styling.","in stock","new","1199 INR","https://laxmira.net/shop/6","https://laxmira.net/uploads/cords/terracotta-lace-co-ord-set-1.png","LAXMIRA"
"7","Sunlit Blossom Draped Skirt Set","A graceful fusion ensemble featuring a floral embroidered blouse paired with a flowing ivory draped skirt and a vibrant yellow embellished cape-style dupatta. The contemporary silhouette and delicate craftsmanship make it a stunning choice for haldi ceremonies, daytime weddings, festive celebrations, and destination events.","in stock","new","900 / day INR","https://laxmira.net/shop/7","https://laxmira.net/uploads/suits/yellow-drap-1.png","LAXMIRA"
"8","Sunshine Bloom Embroidered Saree","Radiate elegance in this vibrant yellow saree featuring delicate floral embroidery and intricate handcrafted border detailing. Its lightweight flow and graceful drape make it a perfect choice for festive celebrations, daytime weddings, haldi ceremonies, and special occasions.","in stock","new","3300 INR","https://laxmira.net/shop/8","https://laxmira.net/uploads/saree/sunshine-bloom-embroidered-saree-1.png","LAXMIRA"
"9","Amber Lace Co-Ord Set","A chic mustard yellow co-ord set crafted with intricate floral lace detailing, featuring a sleeveless peplum-style top paired with straight-fit trousers. Designed for effortless elegance, this ensemble is perfect for brunches, vacations, casual celebrations, and contemporary festive styling.","in stock","new","1199 INR","https://laxmira.net/shop/9","https://laxmira.net/uploads/cords/amber-lace-co-ord-set-1.png","LAXMIRA"
"10","Crimson Heritage Embroidered Suit Set","A regal crimson red suit set featuring intricate zari embroidery and traditional motifs. Designed with a beautifully detailed neckline, embroidered straight kurta, matching palazzo pants, and coordinating dupatta, this ensemble is perfect for festive celebrations, weddings, and cultural occasions.","in stock","new","3150 INR","https://laxmira.net/shop/10","https://laxmira.net/uploads/suits/crimson-heritage-embroidered-suit-set-1.png","LAXMIRA"
"11","Mint Grace Embroidered Co-Ord Set","A refreshing mint green co-ord set designed with delicate lace accents and elegant embroidery for a refined everyday look. Featuring a straight-fit kurta adorned with a graceful leaf motif and paired with tailored trousers, this ensemble offers effortless sophistication, comfort, and timeless charm for casual outings, office wear, and daytime gatherings.","in stock","new","1199 INR","https://laxmira.net/shop/11","https://laxmira.net/uploads/cords/mint-grace-embroidered-co-ord-set-1.png","LAXMIRA"
"12","Blush Pearl Festive Suit Set","An elegant blush pink suit set crafted in lustrous shimmer fabric and enhanced with intricate zari embroidery. Paired with matching embellished trousers and a graceful organza dupatta finished with delicate borders and tassel accents, this ensemble exudes timeless sophistication for festive celebrations, weddings, and special occasions.","in stock","new","1000/day INR","https://laxmira.net/shop/12","https://laxmira.net/uploads/suits/blush-pearl-festive-suit-set-1.png","LAXMIRA"
